CÓDIGO DE EMERGENCIA-SINPAD,AÑO,MES,COD. DISTRITO,DPTO.,PROV.,DIST.,EMERGENCIA,FALLECIDOS,DAMNIFICADOS,AFECTADOS,VIVIENDAS DESTRUIDAS
2555,2003,Setiembre,130105,LA LIBERTAD,TRUJILLO,LA ESPERANZA,INUNDACIÓN,0.0,0.0,11.0,0.0
816,2003,Enero,130302,LA LIBERTAD,BOLÍVAR,BAMBAMARCA,HUAYCO,0.0,0.0,60.0,0.0
1110,2003,Junio,130801,LA LIBERTAD,PATAZ,TAYABAMBA,LLUVIA INTENSA,0.0,4.0,0.0,1.0
1205,2003,Julio,130802,LA LIBERTAD,PATAZ,BULDIBUYO,DESLIZAMIENTO,0.0,170.0,405.0,21.0
2556,2003,Agosto,130813,LA LIBERTAD,PATAZ,URPAY,LLUVIA INTENSA,0.0,4.0,0.0,1.0
3906,2003,Noviembre,130901,LA LIBERTAD,SÁNCHEZ CARRIÓN,HUAMACHUCO,HUAYCO,0.0,5.0,0.0,1.0
813,2003,Marzo,130908,LA LIBERTAD,SÁNCHEZ CARRIÓN,SARTIMBAMBA,LLUVIA INTENSA,0.0,0.0,40.0,0.0
2212,2003,Setiembre,200109,PIURA,PIURA,LA ARENA,INUNDACIÓN,0.0,0.0,2.0,0.0
883,2003,Abril,200111,PIURA,PIURA,LAS LOMAS,INUNDACIÓN,0.0,0.0,0.0,0.0
1057,2003,Mayo,200201,PIURA,AYABACA,AYABACA,DESLIZAMIENTO,0.0,0.0,0.0,2.0
1810,2003,Mayo,200201,PIURA,AYABACA,AYABACA,LLUVIA INTENSA,0.0,2.0,0.0,1.0
1060,2003,Enero,200205,PIURA,AYABACA,MONTERO,LLUVIA INTENSA,0.0,0.0,0.0,0.0
543,2003,Marzo,200209,PIURA,AYABACA,SICCHEZ,LLUVIA INTENSA,0.0,0.0,6.0,4.0
438,2003,Marzo,200302,PIURA,HUANCABAMBA,CANCHAQUE,DESLIZAMIENTO,0.0,18.0,0.0,3.0
970,2003,Abril,200302,PIURA,HUANCABAMBA,CANCHAQUE,DESLIZAMIENTO,0.0,25.0,0.0,3.0
1955,2003,Agosto,200302,PIURA,HUANCABAMBA,CANCHAQUE,DESLIZAMIENTO,0.0,9.0,0.0,1.0
837,2003,Abril,200303,PIURA,HUANCABAMBA,EL CARMEN DE LA FRONTERA,HUAYCO,0.0,15.0,105.0,4.0
1957,2003,Junio,200304,PIURA,HUANCABAMBA,HUARMACA,INUNDACIÓN,0.0,0.0,3.0,0.0
1181,2003,Junio,200501,PIURA,PAITA,PAITA,DESLIZAMIENTO,0.0,6.0,0.0,0.0
838,2003,Febrero,240101,TUMBES,TUMBES,TUMBES,LLUVIA INTENSA,0.0,0.0,5.0,0.0
1383,2003,Abril,240101,TUMBES,TUMBES,TUMBES,LLUVIA INTENSA,0.0,2.0,0.0,1.0
3911,2003,Diciembre,240101,TUMBES,TUMBES,TUMBES,LLUVIA INTENSA,0.0,20.0,103.0,4.0
3146,2003,Diciembre,240101,TUMBES,TUMBES,TUMBES,LLUVIA INTENSA,0.0,18.0,515.0,4.0
1201,2003,Marzo,240104,TUMBES,TUMBES,PAMPAS DE HOSPITAL,LLUVIA INTENSA,0.0,6.0,0.0,1.0
1379,2003,Abril,240301,TUMBES,ZARUMILLA,ZARUMILLA,LLUVIA INTENSA,0.0,0.0,3.0,0.0
5609,2004,Mayo,130107,LA LIBERTAD,TRUJILLO,MOCHE,INUNDACIÓN,0.0,0.0,100.0,0.0
7456,2004,Octubre,130301,LA LIBERTAD,BOLÍVAR,BOLÍVAR,LLUVIA INTENSA,0.0,0.0,7.0,0.0
